Date,AGG,GLD,IWM,QQQ,SPY,TLT,VTI
2023-05-16,89.0869369506836,184.8699951171875,166.5233612060547,321.8632507324219,395.86419677734375,91.70293426513672,196.0642852783203
2023-05-17,88.95185089111328,184.22999572753906,170.2350616455078,325.7591857910156,400.66961669921875,91.435546875,198.60780334472656
2023-05-18,88.53755187988281,181.83999633789062,171.26930236816406,331.8095703125,404.529296875,90.75810241699219,200.5829315185547
2023-05-19,88.3393783569336,183.63999938964844,170.22540283203125,331.0619812011719,403.94073486328125,90.11632537841797,200.1011962890625
2023-05-22,88.25830841064453,183.2100067138672,172.30357360839844,332.1736755371094,404.104736328125,89.79544067382812,200.44801330566406
2023-05-23,88.35739135742188,183.42999267578125,171.49163818359375,327.9629211425781,399.5695495605469,90.05391693115234,198.3284149169922
2023-05-24,88.13221740722656,181.9499969482422,169.6743927001953,326.28057861328125,396.67474365234375,89.6082534790039,196.79647827148438
2023-05-25,87.8079833984375,180.1999969482422,168.35020446777344,334.219970703125,400.1098937988281,89.38541412353516,198.13571166992188
2023-05-26,87.8800277709961,180.9199981689453,170.26406860351562,342.7593994140625,405.2915954589844,90.1073989868164,200.74667358398438
2023-05-30,88.46543884277344,182.0399932861328,169.63577270507812,344.3138732910156,405.44598388671875,91.00767517089844,200.8141326904297
2023-05-31,88.78070831298828,182.32000732421875,167.96359252929688,342.3560791015625,403.19775390625,91.8010025024414,199.60977172851562
2023-06-01,89.04981231689453,183.75999450683594,169.78079223632812,346.31103515625,407.0284729003906,92.1611557006836,201.60418701171875
2023-06-02,88.58021545410156,181.0500030517578,175.9379119873047,348.9082946777344,412.91455078125,91.1512451171875,204.937744140625
2023-06-05,88.57119750976562,182.13999938964844,173.57943725585938,349.1542053222656,412.12335205078125,90.9814453125,204.398193359375
2023-06-06,88.67955780029297,182.33999633789062,178.1514129638672,349.09515380859375,413.02069091796875,91.51768493652344,205.33274841308594
2023-06-07,88.20997619628906,180.14999389648438,181.48468017578125,343.17266845703125,411.5926208496094,90.15921020507812,204.92808532714844
2023-06-08,88.67955780029297,182.52999877929688,180.8061981201172,347.4325256347656,414.08221435546875,91.21382141113281,205.89157104492188
2023-06-09,88.47188568115234,182.0399932861328,179.34262084960938,348.7607421875,414.82513427734375,91.08869934082031,206.11317443847656
2023-06-12,88.6253890991211,181.8800048828125,180.08892822265625,354.6537170410156,418.5883483886719,91.35681915283203,207.96299743652344
2023-06-13,88.20997619628906,180.5399932861328,182.1534881591797,357.3787841796875,421.34808349609375,90.45413208007812,209.49493408203125
2023-06-14,88.29125213623047,180.63999938964844,180.19558715820312,359.97607421875,421.849853515625,91.1780776977539,209.49493408203125
2023-06-15,88.90531158447266,181.91000366210938,181.67855834960938,364.2655334472656,427.0798034667969,92.05392456054688,212.04808044433594
2023-06-16,88.6253890991211,181.6300048828125,180.2246551513672,361.9732360839844,425.62506103515625,91.69642639160156,211.24839782714844
2023-06-20,88.78791809082031,179.75,179.4395751953125,361.4549865722656,423.4168395996094,92.33094787597656,210.20787048339844
2023-06-21,88.93244171142578,179.49000549316406,179.0227508544922,356.5292663574219,421.2474060058594,92.55439758300781,209.05174255371094
2023-06-22,88.47188568115234,177.7100067138672,177.6948699951172,360.7359619140625,422.7679748535156,91.43722534179688,209.61053466796875
2023-06-23,88.73375701904297,178.1999969482422,175.0197296142578,357.1597595214844,419.5718078613281,92.34883117675781,207.87646484375
2023-06-26,88.84210205078125,178.50999450683594,175.1941680908203,352.37188720703125,417.85760498046875,92.44713592529297,207.15109252929688
2023-06-27,88.67052459716797,177.69000244140625,177.72396850585938,358.4305725097656,422.43865966796875,92.20584106445312,209.67530822753906
2023-06-28,88.93244171142578,177.27999877929688,178.59629821777344,359.130126953125,422.6517028808594,92.59908294677734,209.8494110107422
2023-06-29,88.2461166381836,177.08999633789062,180.65113830566406,358.410888671875,424.3175354003906,90.92781066894531,210.85525512695312
2023-06-30,88.45379638671875,178.27000427246094,181.51376342773438,363.93768310546875,429.3248596191406,92.00028991699219,213.0409698486328
2023-07-03,88.34967041015625,178.47000122070312,181.882080078125,364.79473876953125,429.8187561035156,91.47872924804688,213.6792755126953
2023-07-05,87.95130157470703,177.83999633789062,180.069580078125,364.78485107421875,429.1795959472656,90.60948944091797,213.03126525878906
2023-07-06,87.38088989257812,177.30999755859375,177.1617889404297,362.0067443847656,425.81878662109375,89.32801818847656,211.13568115234375
2023-07-07,87.39898681640625,178.63999938964844,179.03244018554688,360.80487060546875,424.74365234375,88.79029083251953,210.87454223632812
2023-07-10,87.64347076416016,178.77999877929688,182.09530639648438,360.9230651855469,425.81878662109375,88.90679931640625,211.79336547851562
2023-07-11,87.83357238769531,179.4499969482422,183.9660186767578,362.70623779296875,428.53057861328125,89.36383056640625,213.4568328857422
2023-07-12,88.54887390136719,181.8800048828125,185.97238159179688,367.2872314453125,431.97857666015625,90.35856628417969,215.09127807617188
2023-07-13,89.10116577148438,182.00999450683594,187.4747314453125,373.52325439453125,435.4071044921875,91.30848693847656,216.90951538085938
2023-07-14,88.67562103271484,181.42999267578125,185.64280700683594,373.4444274902344,435.13592529296875,90.77078247070312,216.59034729003906
2023-07-17,88.77522277832031,181.55999755859375,187.6298065185547,376.931884765625,436.6468200683594,90.81558227539062,217.4123992919922
2023-07-18,88.84766387939453,183.63999938964844,189.9463653564453,380.0154113769531,439.8913269042969,91.22782135009766,219.1436004638672
2023-07-19,89.11925506591797,183.6699981689453,190.75083923339844,379.9267883300781,440.86956787109375,92.25838470458984,219.71420288085938
2023-07-20,88.65750885009766,182.74000549316406,189.08372497558594,371.16876220703125,437.9446105957031,91.1382064819336,218.1280975341797
2023-07-21,88.72089385986328,182.17999267578125,188.48280334472656,370.0555114746094,437.9446105957031,91.16507720947266,218.1087646484375
2023-07-24,88.55792236328125,181.39999389648438,188.94802856445312,370.6465759277344,439.9010314941406,90.83349609375,218.88246154785156
2023-07-25,88.45833587646484,182.41000366210938,188.92861938476562,373.1587829589844,441.10198974609375,90.66323852539062,219.43373107910156
2023-07-26,88.74805450439453,183.3000030517578,190.4213104248047,371.9174499511719,441.1698303222656,90.75285339355469,219.5980987548828
2023-07-27,87.98751068115234,180.4199981689453,187.95938110351562,371.03082275390625,438.244873046875,88.98745727539062,217.90565490722656
2023-07-28,88.33155059814453,181.86000061035156,190.39219665527344,377.7890319824219,442.535400390625,89.44447326660156,220.17845153808594
2023-07-31,88.44021606445312,182.35000610351562,192.6021270751953,377.9860534667969,443.37799072265625,89.6595458984375,220.84576416015625
2023-08-01,87.85464477539062,180.4600067138672,191.7200927734375,377.1092834472656,442.1092834472656,88.1903305053711,220.24612426757812
2023-08-02,87.64584350585938,179.60000610351562,189.11277770996094,368.83392333984375,435.95916748046875,87.24677276611328,217.1222686767578
2023-08-03,87.05574035644531,179.5399932861328,188.57968139648438,368.2428283691406,434.7098083496094,85.23385620117188,216.49365234375
2023-08-04,87.77290344238281,180.19000244140625,188.20167541503906,366.51873779296875,432.74371337890625,86.74353790283203,215.5748748779297
2023-08-07,87.79108428955078,179.77999877929688,188.3276824951172,369.6220397949219,436.5209045410156,85.88984680175781,217.22865295410156
2023-08-08,87.99990844726562,178.63999938964844,187.14517211914062,366.4793395996094,434.6225891113281,86.88731384277344,216.2228546142578
2023-08-09,88.06346130371094,177.7899932861328,185.68162536621094,362.4500732421875,431.7170715332031,87.3366470336914,214.67543029785156
2023-08-10,87.49152374267578,177.60000610351562,184.85772705078125,363.1199645996094,431.87200927734375,85.89884948730469,214.71414184570312
2023-08-11,87.21915435791016,177.60000610351562,185.1194305419922,360.80487060546875,431.62017822265625,85.7011489868164,214.51101684570312
2023-08-14,87.15558624267578,177.05999755859375,184.79959106445312,364.8538513183594,434.00274658203125,85.51244354248047,215.5748748779297
2023-08-15,86.9195327758789,176.58999633789062,182.35702514648438,360.982177734375,428.9471130371094,84.99125671386719,213.12799072265625
2023-08-16,86.71073150634766,175.57000732421875,180.12770080566406,357.1597595214844,425.7994384765625,84.32625579833984,211.3677978515625
2023-08-17,86.61994171142578,175.3000030517578,178.00502014160156,353.25848388671875,422.5549011230469,83.96681213378906,209.6366424560547
2023-08-18,86.81060791015625,175.3300018310547,178.97430419921875,352.8152160644531,422.7582702636719,84.26335144042969,209.87841796875
2023-08-21,86.37481689453125,175.80999755859375,178.71258544921875,358.4996337890625,425.50885009765625,83.14009094238281,211.0873260498047
2023-08-22,86.46561431884766,176.10000610351562,178.17950439453125,357.9873046875,424.3563537597656,83.77812957763672,210.52638244628906
2023-08-23,87.29176330566406,177.88999938964844,180.07925415039062,363.63226318359375,429.0826721191406,85.8539047241211,212.82818603515625
2023-08-24,87.09203338623047,177.85000610351562,177.58827209472656,355.8593444824219,423.1359558105469,85.28776550292969,209.9751434326172
2023-08-25,87.03755950927734,177.6199951171875,178.3442840576172,358.6177978515625,426.1190185546875,85.56632995605469,211.406494140625
2023-08-28,87.22821044921875,178.1300048828125,179.9338836669922,361.31719970703125,428.82122802734375,85.6562271118164,212.76051330566406
2023-08-29,87.79108428955078,179.8699951171875,182.44424438476562,369.208251953125,435.0197448730469,86.54584503173828,215.85533142089844
